SOC,R0 [Ohm],R1 [Ohm],C1 [F]
1,1.06E-03,6.561,3.63E-04
0.95,1.04E-03,5.816,3.55E-04
0.9,1.04E-03,5.207,3.33E-04
0.85,1.03E-03,4.98,3.13E-04
0.8,1.04E-03,4.953,3.06E-04
0.75,1.04E-03,5.279,3.18E-04
0.7,1.05E-03,4.989,3.18E-04
0.65,1.04E-03,4.952,3.18E-04
0.6,1.05E-03,4.73,3.20E-04
0.55,1.06E-03,4.454,3.39E-04
0.5,1.07E-03,4.441,3.54E-04
0.45,1.06E-03,4.013,3.64E-04
0.4,1.08E-03,4.107,3.62E-04
0.35,1.06E-03,3.886,3.82E-04
0.3,1.08E-03,3.634,4.11E-04
0.25,1.09E-03,3.733,4.33E-04
0.2,1.08E-03,3.513,4.49E-04
0.15,1.10E-03,3.548,4.64E-04
0.1,1.11E-03,3.499,5.15E-04
0.05,1.12E-03,3.627,5.56E-04
0,1.19E-03,4.048,7.91E-04
