Time (s),Speed (km/h),Normalized current (A)
0,0.0,0.003958252407496005
1,0.0,0.003958260720624502
2,0.0,0.0039582683063901555
3,0.0,0.003958275234022211
4,0.0,0.003958281566137919
5,0.0,0.0039582873593981185
6,0.0,0.003958292665087893
7,0.0,0.00395829752959733
8,0.0,0.003958301994908521
9,0.0,0.0039583060990076415
10,0.0,0.0039583098762658135
11,0.0,0.0039583133577825
12,0.0,0.003958316571703934
13,0.0,0.003958319543491594
14,0.0,0.003958322296190674
15,0.0,0.003958324850642375
16,0.0,0.0039583272257211555
17,0.0,0.003958329438484582
18,0.0,0.00395833150438561
19,0.0,0.00395833343739746
20,0.0,0.0039583352501697
21,4.828032,0.046365511822171517
22,9.495129600000002,0.13428943584353573
23,13.8403584,0.20290299796411657
24,18.507456,0.29932175415806783
25,23.0136192,0.3716756271203193
26,27.197913599999996,0.4200310045420018
27,27.8416512,0.10397574142190547
28,29.1291264,0.17458189880838118
29,33.3134208,0.5234499222362706
30,34.9227648,0.2501200763008196
31,36.0493056,0.19780494846125776
32,36.210240000000006,0.07426796134809134
33,35.5665024,-0.020436905677730956
34,34.600896,-0.048423116878354815
35,33.6352896,-0.04717976947753769
36,32.830617600000004,-0.03259782068284618
37,31.8650112,-0.04485828565535129
38,27.358848000000002,-0.30348851722981557
39,23.9792256,-0.1909198419417689
40,23.9792256,0.03431883045716194
41,24.4620288,0.07721572128997915
42,24.944832,0.0787528586705844
43,25.749504,0.11052920302398998
44,27.5197824,0.21003197291532724
45,30.738470400000004,0.38445197706900786
46,33.957158400000004,0.4275774264685737
47,36.532108799999996,0.3832955567523176
48,36.85397759999999,0.09706016306101325
49,36.532108799999996,0.011083584345641443
50,36.3711744,0.03228737090094953
51,34.2790272,-0.14848617529291766
52,30.577536000000002,-0.26703657551730653
53,27.5197824,-0.19266242065512457
54,25.4276352,-0.11159916041666088
55,25.4276352,0.036385002451883336
56,28.4853888,0.3395873577483702
57,31.8650112,0.41625330366128643
58,34.7618304,0.40117198373447266
59,37.3367808,0.39226274662261695
60,38.9461248,0.2806345364982053
